MANUFACTURER;BRAND;ITEM_DESCRIPTION;FORMAT;ATTR1;ATTR2;ATTR3;CATEGORY;ITEM_CODE
"RECKITT";"VANISH";"VANISH ROSA QUITAMANCHAS BOT 450 GR C/G MM BOT 240GR 7501058790415BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058790415BP1"
"RECKITT";"VANISH CRYSTAL WHITE";"VANISH CRYSTAL WHITE QUITAMANCHAS PACK BOT 450G C/MM BOT150G 7501058790705BP2";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058790705BP2"
"RECKITT";"VANISH PODER 02";"VANISH OXI ACTION QUITAMANCHAS BOT900G C/GPLANCHYTEXBOT650ML 7501058791443";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058791443"
"RECKITT";"VANISH";"VANISH OXIACTION CRISTAL WHITE BOTE 450GR C/GMM BOT 240 GR 7501058791658BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058791658BP1"
"RECKITT";"VANISH";"VANISHOXIACTIONROSABOTE900GR+MMCRYSTALWHITEDOYPACK120GRPVP 7501058792778BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058792778BP1"
"RECKITT";"VANISH";"VANISHOXIACTIONCRYSTALWHITEDOYPACK120GR+MMROSABOTE900GRPVP 7501058792778BP2";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058792778BP2"
"RECKITT";"VANISH";"VANISHOXIACTIONCRYSTALWHITEBOTE900GR+MMROSADOYPACK120GRPVP 7501058792808BP1";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058792808BP1"
"RECKITT";"VANISH";"VANISHOXIACTIONROSADOYPACK120GR+MMCRYSTALWHITEBOTE900GRPVP 7501058792808BP2";"POLVO";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058792808BP2"
"RECKITT";"VANISH";"VANISH GEL ROSA BOT 4LT + MM CRYSTAL WHITE POUCH 600ML PVP 7501058794949BP1";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"ROSA";1;"7501058794949BP1"
"RECKITT";"VANISH";"VANISH GEL CRYSTAL WHITE POUCH 600ML + MM ROSA BOT 4LT PVP 7501058794949BP2";"GEL";"SAFE BLEACH";"FABRIC TREATMENT";"BLANCO";1;"7501058794949BP2"
